code_iris,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3,code_insee
012830306,,,,,,,,,01283
012890101,22580.0,13.0,12860.0,36960.0,2.9,0.226,17380.0,28410.0,01289
012890102,25280.0,8.0,14730.0,42950.0,2.9,0.25,19810.0,32590.0,01289
013540101,35730.0,16.0,9840.0,85620.0,8.7,0.421,18580.0,59960.0,01354
013540102,29340.0,19.0,8180.0,73990.0,9.0,0.42,16920.0,51200.0,01354
013540103,23740.0,22.0,8990.0,53420.0,5.9,0.373,14890.0,37320.0,01354
014270101,25150.0,11.0,13220.0,39630.0,3.0,0.241,18250.0,31390.0,01427
014270102,23480.0,11.0,13400.0,39740.0,3.0,0.256,17880.0,30700.0,01427
014510101,27290.0,3.0,17940.0,41940.0,2.3,0.218,22120.0,33780.0,01451
014510102,24490.0,9.0,14060.0,39000.0,2.8,0.228,18970.0,31070.0,01451
021680101,18520.0,28.0,9460.0,32650.0,3.5,0.289,13100.0,24930.0,02168
021680201,22120.0,17.0,11610.0,40200.0,3.5,0.29,16210.0,29960.0,02168
021680301,,,,,,,,,02168
021680401,20640.0,21.0,10380.0,34740.0,3.3,0.27,15160.0,27560.0,02168
021680501,13720.0,51.0,8440.0,23690.0,2.8,0.241,10370.0,18910.0,02168
021680601,23290.0,13.0,13030.0,39730.0,3.0,0.273,16830.0,30610.0,02168
021680701,18530.0,27.0,10090.0,31360.0,3.1,0.253,13500.0,24310.0,02168
021730101,15730.0,39.0,8840.0,27490.0,3.1,0.261,11490.0,21300.0,02173
021730201,19470.0,25.0,10050.0,34540.0,3.4,0.285,13890.0,26010.0,02173
021730301,21930.0,17.0,11650.0,37230.0,3.2,0.265,16000.0,28370.0,02173
023400101,21180.0,13.0,13030.0,31260.0,2.4,0.198,16810.0,25580.0,02340
023400201,20110.0,21.0,10950.0,31680.0,2.9,0.241,14580.0,25740.0,02340
023400301,21220.0,17.0,11840.0,31310.0,2.6,0.199,16480.0,25730.0,02340
023810101,15810.0,37.0,9400.0,28260.0,3.0,0.277,11910.0,21410.0,02381
023810201,16050.0,38.0,8860.0,27220.0,3.1,0.263,11560.0,21690.0,02381
023810301,18730.0,29.0,9230.0,29900.0,3.2,0.251,13240.0,24800.0,02381
023810401,16590.0,35.0,10010.0,27140.0,2.7,0.219,12520.0,21830.0,02381
024080101,13520.0,52.0,8170.0,23820.0,2.9,0.249,10260.0,18450.0,02408
024080102,,,,,,,,,02408
024080103,,,,,,,,,02408
024080201,18240.0,25.0,9990.0,30350.0,3.0,0.241,13780.0,24010.0,02408
024080301,20570.0,23.0,10540.0,36200.0,3.4,0.279,14430.0,27970.0,02408
024080401,22070.0,15.0,12080.0,39290.0,3.3,0.283,16490.0,29350.0,02408
024080402,16080.0,35.0,9390.0,26410.0,2.8,0.24,12190.0,21190.0,02408
024080501,19790.0,28.0,9230.0,41450.0,4.5,0.356,13110.0,28250.0,02408
024080601,19690.0,25.0,10260.0,32240.0,3.1,0.26,14080.0,26110.0,02408
024080701,,,,,,,,,02408
024080801,17480.0,34.0,9140.0,30440.0,3.3,0.268,12340.0,23680.0,02408
024080901,23090.0,11.0,13540.0,42770.0,3.2,0.272,17930.0,29800.0,02408
026910101,22480.0,21.0,10230.0,47880.0,4.7,0.373,15150.0,32350.0,02691
026910102,23940.0,21.0,11000.0,58260.0,5.3,0.386,15070.0,37470.0,02691
026910103,18670.0,31.0,9230.0,40190.0,4.4,0.362,12650.0,26920.0,02691
026910104,18710.0,28.0,9620.0,39180.0,4.1,0.366,13210.0,27150.0,02691
026910201,21190.0,19.0,11340.0,39470.0,3.5,0.357,15140.0,28820.0,02691
026910202,21300.0,19.0,11000.0,36040.0,3.3,0.275,15750.0,27650.0,02691
026910203,20630.0,21.0,10800.0,37220.0,3.4,0.284,14980.0,28170.0,02691
026910204,13150.0,55.0,8090.0,25360.0,3.1,0.28,9980.0,18260.0,02691
026910205,12520.0,61.0,7430.0,20610.0,2.8,0.234,9500.0,16800.0,02691
026910206,14520.0,45.0,8770.0,24740.0,2.8,0.242,10430.0,19550.0,02691
026910207,15140.0,43.0,8810.0,26230.0,3.0,0.233,11410.0,20100.0,02691
026910208,22350.0,17.0,10980.0,40940.0,3.7,0.311,16100.0,30270.0,02691
026910209,21610.0,21.0,10730.0,45640.0,4.3,0.327,15140.0,31530.0,02691
026910210,,,,,,,,,02691
026910301,16970.0,33.0,9150.0,28130.0,3.1,0.268,12180.0,22570.0,02691
026910302,19890.0,21.0,10420.0,30200.0,2.9,0.228,14640.0,24410.0,02691
026910303,16020.0,39.0,9170.0,24820.0,2.7,0.216,12020.0,20470.0,02691
026910304,17300.0,32.0,9680.0,29230.0,3.0,0.253,12750.0,22800.0,02691
026910401,18670.0,27.0,10030.0,32160.0,3.2,0.259,13490.0,24660.0,02691
026910402,17740.0,27.0,10070.0,29520.0,2.9,0.234,13590.0,23310.0,02691
026910403,19340.0,21.0,10980.0,29760.0,2.7,0.217,14390.0,24560.0,02691
026910501,18210.0,28.0,10190.0,30680.0,3.0,0.255,13400.0,23500.0,02691
026910502,19020.0,27.0,9760.0,34760.0,3.6,0.273,13470.0,26990.0,02691
026910503,14020.0,49.0,8260.0,24140.0,2.9,0.247,10540.0,18990.0,02691
