code_insee,median_income,poverty_rate,income_d1,income_d9,income_inequality_ratio,gini_index,income_q1,income_q3
01004,21212.5,17.75,12102.5,34717.5,2.875,0.26,15915.0,27812.5
01033,23506.666666666668,18.166666666666668,11451.666666666666,47356.666666666664,4.183333333333333,0.3135,16405.0,33628.333333333336
01034,20683.333333333332,19.0,12026.666666666666,36013.333333333336,3.033333333333333,0.26566666666666666,15663.333333333334,27396.666666666668
01053,20367.777777777777,23.666666666666668,10875.0,35264.444444444445,3.238888888888889,0.27805555555555556,14942.777777777777,26943.333333333332
01143,46756.666666666664,8.0,15626.666666666666,109163.33333333333,7.0,0.3986666666666667,27056.666666666668,73586.66666666667
01160,28510.0,22.666666666666668,6666.666666666667,74156.66666666667,11.133333333333333,0.5293333333333333,15683.333333333334,48373.333333333336
01173,35046.666666666664,10.666666666666666,13520.0,73690.0,5.5,0.36433333333333334,21450.0,51793.333333333336
01194,24475.0,10.0,13925.0,38875.0,2.8,0.23149999999999998,18640.0,31135.0
01202,23905.0,10.0,13880.0,38190.0,2.75,0.23299999999999998,18545.0,30405.0
01244,24620.0,9.666666666666666,14290.0,40113.333333333336,2.8333333333333335,0.2383333333333333,18773.333333333332,31830.0
01249,26743.333333333332,9.333333333333334,14786.666666666666,44073.333333333336,3.0,0.247,20126.666666666668,34390.0
01262,24245.0,13.0,13540.0,38815.0,2.8499999999999996,0.2365,17905.0,30650.0
01283,18872.0,27.6,10572.0,32228.0,3.0700000000000003,0.274,14195.0,24659.0
01289,23930.0,10.5,13795.0,39955.0,2.9,0.238,18595.0,30500.0
01354,29603.333333333332,19.0,9003.333333333334,71010.0,7.866666666666667,0.4046666666666667,16796.666666666668,49493.333333333336
01427,24315.0,11.0,13310.0,39685.0,3.0,0.2485,18065.0,31045.0
01451,25890.0,6.0,16000.0,40470.0,2.55,0.223,20545.0,32425.0
02168,19470.0,26.166666666666668,10501.666666666666,33728.333333333336,3.1999999999999997,0.26933333333333337,14195.0,26046.666666666668
02173,19043.333333333332,27.0,10180.0,33086.666666666664,3.233333333333333,0.2703333333333333,13793.333333333334,25226.666666666668
02340,20836.666666666668,17.0,11940.0,31416.666666666668,2.6333333333333333,0.21266666666666667,15956.666666666666,25683.333333333332
02381,16795.0,34.75,9375.0,28130.0,3.0,0.2525,12307.5,22432.5
02408,18947.777777777777,27.555555555555557,10260.0,33663.333333333336,3.2777777777777777,0.272,13845.555555555555,25423.333333333332
02691,18504.8,29.96,9880.8,33645.2,3.384,0.28,13340.0,25144.0
02722,18505.384615384617,30.846153846153847,10260.0,33664.61538461538,3.2615384615384615,0.2714615384615385,13790.0,24783.846153846152
02738,18400.0,26.5,10430.0,29251.666666666668,2.8166666666666664,0.22666666666666668,13788.333333333334,23628.333333333332
02810,20170.0,19.0,11737.5,33630.0,2.875,0.25525,15517.5,25860.0
03023,22807.5,16.75,11905.0,40685.0,3.45,0.3025,16300.0,30137.5
03082,20163.333333333332,19.666666666666668,11256.666666666666,31206.666666666668,2.8333333333333335,0.22966666666666669,15313.333333333334,25263.333333333332
03095,20898.333333333332,19.0,11660.0,34510.0,2.983333333333333,0.25366666666666665,15690.0,26821.666666666668
03101,22526.666666666668,11.333333333333334,13440.0,34863.333333333336,2.6,0.22433333333333336,17853.333333333332,28163.333333333332
03118,20780.0,16.5,11730.0,33695.0,2.8499999999999996,0.2425,15730.0,26450.0
03185,19436.0,25.133333333333333,10422.0,32678.666666666668,3.146666666666667,0.26586666666666664,14080.666666666666,25668.0
03190,19950.0,22.77777777777778,10930.0,35161.11111111111,3.2,0.2634444444444444,14846.666666666666,26647.777777777777
03254,20835.0,16.5,12460.0,35245.0,2.85,0.249,15870.0,27370.0
03310,20417.0,22.9,10632.0,37215.0,3.5100000000000002,0.2814,14836.0,27887.0
03321,23842.0,10.8,14032.0,36996.0,2.68,0.22719999999999999,18662.0,29960.0
04049,20950.0,17.0,12135.0,33575.0,2.75,0.22499999999999998,15705.0,26790.0
04070,21141.25,18.875,11850.0,35292.5,3.0125,0.2545,15773.75,27645.0
04112,21152.222222222223,21.333333333333332,11495.555555555555,37807.77777777778,3.288888888888889,0.32555555555555554,15547.777777777777,28491.11111111111
04209,20633.333333333332,20.0,11583.333333333334,34550.0,3.0,0.25466666666666665,15380.0,26833.333333333332
05023,21830.0,14.5,12427.5,36597.5,2.95,0.26275000000000004,16575.0,28075.0
05046,21216.666666666668,16.666666666666668,12230.0,36093.333333333336,2.9333333333333336,0.27066666666666667,16050.0,27753.333333333332
05061,21907.058823529413,15.941176470588236,12459.411764705883,36797.64705882353,2.988235294117647,0.25176470588235295,16563.529411764706,28280.58823529412
06004,24405.833333333332,14.416666666666666,12345.833333333334,44107.916666666664,3.6291666666666664,0.30483333333333335,17552.916666666668,33106.25
06012,22508.0,20.0,9096.0,40942.0,4.58,0.3254,15508.0,30362.0
06018,30176.666666666668,8.333333333333334,14913.333333333334,58530.0,3.9,0.3426666666666667,21653.333333333332,41673.333333333336
06027,24325.0,13.5,12659.375,42386.25,3.3375,0.272625,17846.875,32044.375
06029,21773.0,21.433333333333334,10461.666666666666,43618.333333333336,4.2,0.3312333333333334,15164.0,30763.333333333332
06030,22575.29411764706,16.88235294117647,11602.941176470587,40378.82352941176,3.5,0.2885294117647059,16276.470588235294,30331.176470588234
06033,22145.0,16.0,13017.5,33892.5,2.625,0.213,17017.5,27692.5
06044,29263.333333333332,9.333333333333334,14300.0,55066.666666666664,3.8333333333333335,0.32233333333333336,20906.666666666668,39766.666666666664
