smac_status,smac_name,operator_name,cp,city,region,latitude,longitude,dept_code
SMAC,L'Ouvre- Boîte,ASCA Association culturelle Argentine,60000,BEAUVAIS,Hauts-de-France,,,60
SMAC,La Cartonnerie,REMCA,51100,REIMS,Grand Est,,,51
SMAC en cours de labellisation,La Belle Electrique,Association MixLab,38000,GRENOBLE,Auvergne-Rhône-Alpes,,,38
SMAC,Le Jardin Moderne (projet SMAC d’agglomération rennaise),association Le Jardin Moderne,35000,RENNES,Bretagne,,,35
SMAC,Le Silex/ Jazz Club d'Auxerre,Service Compris,89000,AUXERRE,Bourgogne-Franche-Comté,,,89
SMAC,ATM (projet SMAC d'agglomération rennaise),Association Trans Musicales,35000,RENNES,Bretagne,,,35
SMAC,La Gare,Association AVEC,84660,MAUBEC,Provence-Alpes-Côte d'Azur,,,84
SMAC,SMAC d'agglomération Bordelaise : Krakatoa,Transrock,33700,MERIGNAC,Nouvelle-Aquitaine,,,33
SMAC,Le Triton,None,93260,LES LILAS,Île-de-France,,,93
SMAC,Espace Michel Berger (EMB),ADAME Association pour le développement et l'aide aux musiques électroniques,95110,SANNOIS,Île-de-France,,,95
SMAC,Le Florida,Adem Association pour le développement de l'expression musicale,47000,AGEN,Nouvelle-Aquitaine,,,47
SMAC,SMAC d'agglomération Bordelaise : Le Rocher de Palmer,None,33150,saint nazaire,Nouvelle-Aquitaine,,,33
SMAC,la Vapeur,Régie personnalisée,21000,DIJON,Bourgogne-Franche-Comté,,,21
SMAC,Les Abattoirs,None,38300,BOURGOIN-JALLIEU,Auvergne-Rhône-Alpes,,,38
SMAC en cours de labellisation,Espace Julien SMAC d'agglomération marseillaise,association Teknicité,13006,MARSEILLE,Provence-Alpes-Côte d'Azur,,,13
SMAC,Jazzdor,Jazzdor Festival,67000,STRASBOURG,Grand Est,,,67
SMAC,Le Grand Mix,Association la Passerelle,59200,TOURCOING,Hauts-de-France,,,59
SMAC,Le Big Band Café,ADMH : Association pour le développement musical d'Hérouville,14200,HEROUVILLE-SAINT-CLAIR,Normandie,,,14
SMAC,Le Petit Faucheux,Le Petit Faucheux,37000,TOURS,Centre-Val de Loire,,,37
SMAC,Le Rio Grande,Le Rio,82000,MONTAUBAN,Occitanie,,,82
SMAC,Lo Bolegason,None,81100,CASTRES,Occitanie,,,81
SMAC,La Manutention,Association pour le Jazz et les musiques improvisées AJMI,84000,AVIGNON,Provence-Alpes-Côte d'Azur,,,84
SMAC,SMAC d'agglomération Bordelaise : Théatre Barbey,Parallèles Attitudes Diffusion,33800,BORDEAUX,Nouvelle-Aquitaine,,,33
SMAC,Les Bains Douches,Association Les Bains Douches,18160,LIGNIERES,None,,,18
SMAC en cours de labellisation,Le Moulin SMAC d'agglomération marseillaise,association SAAG,13013,MARSEILLE,Provence-Alpes-Côte d'Azur,,,13
SMAC,Paloma,None,30000,NIMES,Occitanie,,,30
SMAC en cours de labellisation,Echo System,Au coin de l’oreille,70360,SCEY SUR SAONE,Bourgogne-Franche-Comté,,,70
SMAC,Le Confort Moderne,L'Oreille est hardie,86000,POITIERS,Nouvelle-Aquitaine,,,86
SMAC,La Grange à Musique,None,60100,CREIL,Hauts-de-France,,,60
SMAC,Le Manège / MAPL (projet SMAC de département),Musique aujourd'hui en Pays de Lorient,56100,LORIENT,Bretagne,,,56
SMAC,Stéreolux,Association Songo,44200,NANTES,Pays de la Loire,,,44
