structure,nom1,nom2,adresse1,adresse2,cp,ville,longitude,latitude,coordonnees_geoloc,coordonnees_ban,region,coordonnees_finales.lon,coordonnees_finales.lat,coordonnees_finales
Opéra en région,Opéra National du Rhin,,19 place de la Broglie,B.P. 320,67008.0,STRASBOURG,7.749568,48.58496000000001,"48.58496000000001,7.749568",,Grand Est,7.749568,48.58496000000001,
SMAC,Le Pannonica,NAJA Association Nantes Jazz Action,9 Rue Basse Porte,,44000.0,NANTES,,,,"47.221054, -1.558417",Pays de la Loire,-1.558417,47.221054,
SMAC,La Clef,"Association pour la culture, les loisirs et la formation","46, rue de Mareil",,78100.0,SAINT-GERMAIN-EN-LAYE,,,,"48.894016, 2.088918",Île-de-France,2.088918,48.894016,
Centre chorégraphique national,Ballet Biarritz - Centre chorégraphique national d'Aquitaine en Pyrénées Atlantiques,,"23, avenue Foch",Gare du Midi,64200.0,Biarritz,-1.558622,43.479276999999996,"43.479276999999996,-1.558622","43.479443, -1.558602",Nouvelle-Aquitaine,-1.558622,43.479276999999996,
Centre d’art,VILLA NOAILLES - F.I.A.M.H.,,BP176,,83400.0,HYÈRES,,,,"43.118457, 6.128004",Provence-Alpes-Côte d'Azur,6.128004,43.118457,
Centre Dramatique National,THEATRE DU PREAU,,Place Castel,B.P. 104,14504.0,VIRE Cedex,-0.890608,48.85109500000002,"48.85109500000002,-0.890608",,Normandie,-0.890608,48.85109500000002,
Centre national des arts de la rue,Moulin fondu,,53 rue de Merlan,,93130.0,NOISY-LE-SEC,2.4661480000000005,48.89063699999999,"48.89063699999999,2.4661480000000005","48.890637, 2.466098",Île-de-France,2.466148,48.89063699999999,
Centre chorégraphique national,Centre National de Danse Contemporaine d'Angers,,"17, rue de la Tannerie",BP 50107,49101.0,Angers cedex 02,-0.5650089999999999,47.47295999999999,"47.47295999999999,-0.5650089999999999",,Pays de la Loire,-0.5650089999999991,47.47295999999999,
Scène Nationale,Maison des Arts et de la Culture,,Place Salvador-Allende,,94000.0,CRÉTEIL,2.4483899999999994,48.790022000000015,"48.790022000000015,2.4483899999999994","48.778451, 2.453769",Île-de-France,2.448389999999999,48.790022000000015,
Scène Nationale,Le Moulin du Roc - Scène nationale,,"9, boulevard Main",BP 405,79000.0,NIORT Cedex,-0.468096,46.32580299999999,"46.32580299999999,-0.468096","46.325665, -0.467965",Nouvelle-Aquitaine,-0.46809599999999996,46.32580299999999,
SMAC,La Coopérative de Mai,Association Pop'art,Rue Serge Gainsbourg,,63100.0,CLERMONT-FERRAND,,,,"45.788615, 3.099623",Auvergne-Rhône-Alpes,3.099623,45.788615,
SMAC,Les Passagers du Zinc,association Des Deux Mains,23 route de Montfavet,,84000.0,AVIGNON,,,,"43.942012, 4.823053",Provence-Alpes-Côte d'Azur,4.823053,43.942012,
Centre Dramatique National,LES TRETEAUX DE FRANCE,,"11, rue Yvon Villarceau",,75116.0,PARIS,2.287224,48.86865,"48.86865,2.287224","48.864272, 2.271028",Île-de-France,2.287224,48.86865,
Orchestre Permanent,Ensemble Intercontemporain,,"223, avenue Jean Jaurès",,75019.0,PARIS,2.394225,48.88929100000001,"48.88929100000001,2.394225","48.889292, 2.393954",Île-de-France,2.394225,48.88929100000001,
Centre d’art,LE CARRE,CHÂTEAU-GONTIER,Place André Counord,,53200.0,CHÂTEAU-GONTIER,,,,"47.822319, -0.709951",Pays de la Loire,-0.709951,47.822319,
Centre national des arts de la rue,Le Fourneau,,11 Quai de la Douane,,29200.0,BREST,-4.482418000000001,48.38279299999999,"48.38279299999999,-4.482418000000001","48.383091, -4.483333",Bretagne,-4.482418000000001,48.38279299999999,
Scène Nationale,Scène nationale de Petit-Quevilly/Mont-Saint-Aignan,,rue François Mitterrand,BP 14,76141.0,PETIT-QUEVILLY Cedex,1.058548,49.425514,"49.425514,1.058548",,Normandie,1.058548,49.425514,
SMAC,SMAC Ardèche (La Presqu'ïle/Cavajazz),Association de gestion de la Smac ardéchoise,Quartier Fontanes,,7100.0,ANNONAY,,,,"45.236866, 4.673671",Auvergne-Rhône-Alpes,4.673671,45.236866,
SMAC,CC Paul Bailliart,,"6, Allée de Québec",,91300.0,MASSY,,,,"48.730561, 2.28347",Île-de-France,2.28347,48.730561,
Centre de développement chorégraphique,L'échangeur,,,,2130.0,FERE EN TARDENOIS,,,,"49.198613, 3.517207",Hauts-de-France,3.517207,49.198613,
Centre d’art,C.P.I.F. - CENTRE PHOTOGRAPHIQUE,D'ÎLE-DE-FRANCE,Ferme Briarde,,77340.0,PONTAULT-COMBAULT,,,,"48.806089, 2.603425",Île-de-France,2.603425,48.806089,
Centre Dramatique Régional,CENTRE DRAMATIQUE DE L’OCEAN INDIEN,Théâtre du Grand Marché,"2, rue du Maréchal Leclerc",,97400.0,SAINT-DENIS DE LA REUNION,,,,"-20.880868, 55.44749",,55.44749,-20.880868,
FRAC,Fonds régional d'art contemporain BRETAGNE,,19 avenue André Mussat,,35000.0,RENNES,,,,"48.130653, -1.695448",Bretagne,-1.6954479999999998,48.130653,
SMAC,Penn Ar Jazz,Assciation Penn Ar Jazz,"6, rue Guy Ropartz",,29200.0,BREST,,,,"48.385826, -4.484894",Bretagne,-4.484894,48.385826,
SMAC,La Citrouille,La Citrouille,Place Nina Simone,,22000.0,SAINT BRIEUC,,,,"48.518597, -2.760913",Bretagne,-2.760913,48.518597,
Centre Dramatique National,THEATRE JEUNE PUBLIC,,"1, rue du Pont Saint-Martin",,67000.0,STRASBOURG,7.7434389999999995,48.580174,"48.580174,7.7434389999999995","48.580238, 7.743456",Grand Est,7.743438999999999,48.580174,
Centre de développement chorégraphique,Danse à Lille,,,,59170.0,ROUBAIX,,,,"50.688421, 3.150329",Hauts-de-France,3.150329,50.688421,
Scène Nationale,Scène nationale de Bayonne et du Sud Aquitaine,,"1, rue Edouard Ducere",,64100.0,BAYONNE,-1.475698,43.49295900000001,"43.49295900000001,-1.475698","43.493037, -1.475498",Nouvelle-Aquitaine,-1.475698,43.49295900000001,
Centre Dramatique National,CENTRE DRAMATIQUE NATIONAL DE LYON,Théâtre Nouvelle Génération,"23, rue de Bourgogne",B.P. 518,69257.0,LYON Cedex 09,4.803453,45.777472999999986,"45.777472999999986,4.803453",,Auvergne-Rhône-Alpes,4.803453,45.777472999999986,
Scène Nationale,Le Manège de Reims - Scène nationale,,"2, boulevard du Général Leclerc",BP 1063,51100.0,REIMS Cedex,4.021506,49.251896000000016,"49.251896000000016,4.021506","49.25457, 4.022331",Grand Est,4.021506,49.251896000000016,
Centre d’art,PALAIS DE TOKYO - SITE DE CRÉATION,CONTEMPORAINE,"2, rue de la Manutention",,75116.0,PARIS,,,,"48.86541, 2.27774",Île-de-France,2.27774,48.86541,
Centre d’art,LE JEU DE PAUME,,"1, place de la Concorde",,75008.0,PARIS,,,,"48.867065, 2.321877",Île-de-France,2.3218769999999997,48.867065,
SMAC,La Cordonnerie,,"3, quai Sainte Claire","Cité de la musique,",26100.0,ROMANS,,,,"45.043393, 5.044746",Auvergne-Rhône-Alpes,5.044746,45.043393,
Scène Nationale,La Coursive - Scène nationale,,"4, rue Saint-Jean-du-Pérot",,17000.0,LA ROCHELLE Cedex 01,-1.17311,46.159895,"46.159895,-1.17311","46.156657, -1.154697",Nouvelle-Aquitaine,-1.17311,46.159895,
Scène Nationale,Le Théâtre - Scène Nationale,,"1511, avenue Charles de Gaulle",,71000.0,MACON,4.8365,46.315320999999976,"46.315320999999976,4.8365","46.316086, 4.836865",Bourgogne-Franche-Comté,4.8365,46.315320999999976,
Scène Nationale,L’Hexagone  - Scène Nationale,,"24, rue des Aiguinards",,38240.0,MEYLAN,5.764283,45.205983,"45.205983,5.764283","45.206601, 5.763817",Auvergne-Rhône-Alpes,5.764283,45.205983,
SMAC,Le 106,106 REM,Quai Jean de Béthencourt,,76100.0,ROUEN,,,,"49.434994, 1.09277",Normandie,1.09277,49.434994,
SMAC,Le Gueulard +,,3 rue Victor Hugo,,57240.0,NILVANGE,,,,"49.341575, 6.050484",Grand Est,6.050484,49.341575,
Scène Nationale,Espace des Arts - Scène nationale,,"5 bis, avenue Nicéphore",,71100.0,Chalon-sur-Saône,4.850058,46.778951,"46.778951,4.850058","46.779485, 4.849123",Bourgogne-Franche-Comté,4.850058,46.778951,
Scène Nationale,Théâtre des Salins - Scène nationale,,"19, quai Paul Doumer",BP 75,13692.0,MARTIGUES Cedex,5.051029,43.406800999999994,"43.406800999999994,5.051029",,Provence-Alpes-Côte d'Azur,5.051029,43.406800999999994,
SMAC,La Luciole,Association Eurêka,"171, rue de Bretagne",,61000.0,ALENCON,,,,"48.432758, 0.069102",Normandie,0.069102,48.432758,
SMAC,Temps Machine,Travaux Publics,45-49 rue des Martyrs,Parvis Miles Davis,37300.0,JOUE-LES-TOURS,,,,"47.351975, 0.665148",Centre-Val de Loire,0.665148,47.351975,
Centre Dramatique National,THEATRE DU NORD,,"4, place du Général de Gaulle",B.P. 302,59026.0,LILLE CEDEX,3.0632759999999997,50.63747000000001,"50.63747000000001,3.0632759999999997",,Hauts-de-France,3.063275999999999,50.63747000000001,
Centre Dramatique National,THEATRE DE L’UNION,CENTRE DRAMATIQUE NATIONAL DU LIMOUSIN,"20, rue des Coopérateurs",B.P. 206,87006.0,LIMOGES CEDEX,1.254636,45.836451000000004,"45.836451000000004,1.254636",,Nouvelle-Aquitaine,1.254636,45.836451000000004,
Opéra en région,Angers-Nantes Opera (Ano),,1 rue Molière,,44000.0,NANTES,-1.561901,47.21400499999999,"47.21400499999999,-1.561901","47.213652, -1.561991",Pays de la Loire,-1.561901,47.21400499999999,
FRAC,Fonds régional d'art contemporain REUNION,,9 Allée des Flamboyants,²,97424.0,Piton Saint-Leu,,,,"-21.201058, 55.295168",,55.295168,-21.201058,
Scène Nationale,DSN (Dieppe - Scène Nationale),,"1, Quai Bérigny",,76200.0,DIEPPE,1.081686,49.922206999999986,"49.922206999999986,1.081686","49.922094, 1.081377",Normandie,1.081686,49.922206999999986,
Centres nationaux de création musicale,GMEA : Groupe de musique expérimentale d’Albi,,"4, rue Sainte Claire",,81000.0,Albi,2.1458459999999997,43.929421,"43.929421,2.1458459999999997","43.929383, 2.145801",Occitanie,2.145845999999999,43.929421,
Pôle cirque,Cirque Jules Verne,,Place Longueville,BP 2720,80000.0,AMIENS,,,,"49.887688, 2.29558",Hauts-de-France,2.29558,49.887688,
Scène Nationale,L’Athanor - Scène nationale,,Place de l’Amitié entre les Peuples,BP 49,81000.0,ALBI,2.16053,43.933453000000014,"43.933453000000014,2.16053","43.923796, 2.144604",Occitanie,2.16053,43.933453000000014,
Centre d’art,ESPACE DE L'ART CONCRET,,Château de Mouans,,6370.0,MOUANS-SARTOUX,,,,"43.620041, 6.969023",Provence-Alpes-Côte d'Azur,6.969023,43.620041,
Centre d’art,"LA GALERIE, CENTRE D'ART CONTEMPORAIN",,"1, rue Jean Jaurès",,93130.0,NOISY-LE-SEC CEDEX,,,,"48.890274, 2.452941",Île-de-France,2.452941,48.890274,
Centre Dramatique National,THEATRE GERARD PHILIPE,,"59, boulevard Jules Guesde",,93207.0,SAINT-DENIS Cedex 1,2.36645,48.932616999999986,"48.932616999999986,2.36645",,Île-de-France,2.36645,48.932616999999986,
SMAC en cours de labellisation,La Nef,Cté d'agglomération  Grand Angoulême-Régie à autonomie financière,Rue Louis Pergaud,,16000.0,ANGOULEME,,,,"45.641866, 0.131695",Nouvelle-Aquitaine,0.131695,45.641866,
SMAC en cours de labellisation,Le Plan – Communauté d'agglomération Evry Centre Essonne,,500 PLACE DES Champs Elysées –,BP 62 Courcouronnes,91000.0,EVRY,,,,"48.640728, 2.432558",Île-de-France,2.432558,48.640728,
Pôle cirque,Centre culturel Agora,,,BP 161,24750.0,BOULAZAC,,,,"45.185786, 0.77558",Nouvelle-Aquitaine,0.77558,45.185786,
Scène Nationale,Le Granit - Scène nationale,,"1, Faubourg de Montbéliard",BP 117,90000.0,BELFORT Cedex,6.857865,47.636644000000004,"47.636644000000004,6.857865","47.636797, 6.857904",Bourgogne-Franche-Comté,6.857865,47.636644000000004,
Centre chorégraphique national,Centre chorégraphique national de Nantes Claude Brumachon Benjamin Lamarche,,"23, rue Noire",,44000.0,Nantes,-1.562287,47.226438,"47.226438,-1.562287","47.226345, -1.562376",Pays de la Loire,-1.562287,47.226438,
Scène Nationale,La Passerelle - Scène nationale de Saint-Brieuc,,Place de la Résistance,BP 4133,22000.0,SAINT-BRIEUC Cedex 2,-2.76169,48.513749000000004,"48.513749000000004,-2.76169","48.513807, -2.761383",Bretagne,-2.76169,48.513749000000004,
Centre Dramatique Régional,CENTRE DRAMATIQUE REGIONAL DE TOURS,Nouvel Olympia,"7, rue de Lucé",,37000.0,TOURS,0.688842,47.39349500000002,"47.39349500000002,0.688842","47.393664, 0.688597",Centre-Val de Loire,0.688842,47.39349500000002,
Centres nationaux de création musicale,GRAME,,9 Rue du Garet,BP 1185,69202.0,Lyon Cedex 01,4.836826,45.766746,"45.766746,4.836826",,Auvergne-Rhône-Alpes,4.836826,45.766746,
Centre chorégraphique national,Centre chorégraphique national de Montpellier Languedoc-Roussillon],,Les Ursulines,Boulevard Louis Blanc,34000.0,Montpellier,3.878514,43.613803,"43.613803,3.878514","43.611024, 3.875521",Occitanie,3.878514,43.613803,
Centre d’art,CENTRE INTERNATIONAL DES ARTS ET DU,PAYSAGE DE VASSIVIÈRE-EN-LIMOUSIN,Ile de Vassivière,,87120.0,BEAUMONT DU LAC,,,,"45.799741, 1.864969",Nouvelle-Aquitaine,1.8649689999999999,45.799741,
Scène Nationale,Le Quartz - Scène nationale,,"2-4, avenue Clémenceau",BP 411,29200.0,BREST Cedex,-4.491028,48.392779999999995,"48.392779999999995,-4.491028","48.38914, -4.48448",Bretagne,-4.491028,48.392779999999995,
Scène Nationale,Théâtre et Auditorium de Poitiers,,"1, place du Maréchal Leclerc",,86000.0,POITIERS,0.339617,46.580512999999996,"46.580512999999996,0.339617","46.580669, 0.339687",Nouvelle-Aquitaine,0.339617,46.580512999999996,
SMAC,Le Moulin de Brainans,Association Promodegel,,"C/O association Promidégel, BP 45",39800.0,BRAINANS,,,,"46.869925, 5.622268",Bourgogne-Franche-Comté,5.622268,46.869925,
FRAC,Fonds régional d'art contemporain FRANCHE-COMTÉ,,"Conseil régional 4, square Castan",,25000.0,BESANCON,,,,"47.234547, 6.030396",Bourgogne-Franche-Comté,6.030396,47.234547,
Opéra en région,Opéra National de Bordeaux,,Place de la Comédie,B.P. 95,33025.0,BORDEAUX Cedex,-0.574308,44.84234200000002,"44.84234200000002,-0.574308",,Nouvelle-Aquitaine,-0.5743079999999999,44.84234200000002,
Centre d’art,CENTRE RÉGIONAL DE LA PHOTOGRAPHIE,DU NORD PAS DE CALAIS,Place des Nations,,59282.0,DOUCHY-LES-MINES,,,,"50.300856, 3.385655",Hauts-de-France,3.385655,50.300856,
Centre d’art,VILLA ARSON - CENTRE D'ART,,20 avenue Stephen Liégeard,,6100.0,NICE,,,,,,,,
Scène Nationale,"Scène nationale 61 - Alençon, Flers, Mortagne",,"2, avenue de Basingstoke",,61000.0,ALENÇON,0.094943,48.436352,"48.436352,0.094943","48.436275, 0.095422",Normandie,0.094943,48.436352,
Centre d’art,LA FERME DU BUISSON,CENTRE D'ART ET DE CULTURE,Allée de la Ferme,,77186.0,NOISIEL,,,,"48.844729, 2.625589",Île-de-France,2.6255889999999997,48.844729,
SMAC,CAMJI,Association le Camji,3 rue de l'Ancien Musée,"Espace Michelet,",79000.0,NIORT,,,,"46.323205, -0.46373",Nouvelle-Aquitaine,-0.46373000000000003,46.323205,
FRAC,Fonds régional d'art contemporain ILE-DE-France,,"33, rue des Alouettes",,75019.0,PARIS,,,,"48.878195, 2.385454",Île-de-France,2.385454,48.878195,
SMAC,L'Autre Canal,,45 boulevard d'Austrasie,,54000.0,NANCY,,,,"48.692926, 6.19955",Grand Est,6.19955,48.692926,
SMAC,Run Ar Puns,Association Rapass,Route de Pleyben,,29150.0,CHATEAULIN,,,,"48.20692, -4.070646",Bretagne,-4.070646,48.20692,
Orchestre Permanent,Orchestre de Poitou-Charentes,,9 rue du Général Berton,BP 422,86011.0,Poitiers Cedex,0.34268,46.58498800000001,"46.58498800000001,0.34268",,Nouvelle-Aquitaine,0.34268000000000004,46.58498800000001,
Opéra en région,Opéra de Marseille,,2 rue Molière,,13001.0,MARSEILLE,5.375878000000001,43.293934999999976,"43.293934999999976,5.375878000000001","43.293839, 5.376004",Provence-Alpes-Côte d'Azur,5.375878000000001,43.293934999999976,
Opéra en région,Opéra de Rouen/Haute Normandie,,7 rue du Docteur Rambert,B.P. 1253,76177.0,ROUEN Cedex,1.089818,49.439491000000004,"49.439491000000004,1.089818",,Normandie,1.089818,49.439491000000004,
Centre d’art,LE QUARTIER,CENTRE D'ART CONTEMPORAIN,"10, esplanade François Miterrand",,29000.0,QUIMPER,,,,"47.996199, -4.10972",Bretagne,-4.10972,47.996199,
Scène Nationale,L'Apostrophe - Scène nationale,,Place des Arts,BP 307,95000.0,CERGY-PONTOISE Cedex,,,,"49.036322, 2.078656",Île-de-France,2.078656,49.036322,
Scène Nationale,Le théâtre de Saint-Nazaire,,Rue des frères Pereire,BP 150,44600.0,SAINT-NAZAIRE,-2.254286,47.26774199999999,"47.26774199999999,-2.254286","47.297148, -2.195976",Pays de la Loire,-2.254286,47.26774199999999,
SMAC,Le Normandy,Ecran Sonique,Place du Champ de Mars,bp 330 -,50000.0,ST LO,,,,"49.116174, -1.087574",Normandie,-1.087574,49.116174,
Centre de développement chorégraphique,Le Pacifique,,,,38100.0,GRENOBLE,,,,"45.18627, 5.725358",Auvergne-Rhône-Alpes,5.725358,45.18627,
Pôle cirque,Théâtre Firmein Gémier / La Piscine,,"254, avenue de la Division Leclerc",,92290.0,CHATENAY-MALABRY,,,,"48.764602, 2.267375",Île-de-France,2.267375,48.764602,
SMAC en cours de labellisation,Echonova (projet SMAC de département),R.E.M.A. L’Echonova,1 rue Léon Griffon,,56890.0,Saint-Avé,,,,"47.673828, -2.743307",Bretagne,-2.7433069999999997,47.673828,
Scène Nationale,Centre Martiniquais d'Action Culturelle (CMAC),,"6, rue Jacques Cazotte",,97200.0,FORT-DE-France,-61.065119,14.604314999999996,"14.604314999999996,-61.065119","14.604361, -61.065269",,-61.065119,14.604314999999996,
Opéra en région,Opéra National de Nancy et de Lorraine,,1 rue Sainte-Catherine,,54000.0,NANCY,6.183877,48.69375500000001,"48.69375500000001,6.183877","48.693985, 6.184578",Grand Est,6.183877,48.69375500000001,
Scène Nationale,Le Bateau Feu - Scène nationale,,Place du Général de Gaulle,BP 2064,59300.0,DUNKERQUE,2.380813,51.03602300000001,"51.03602300000001,2.380813",,Hauts-de-France,2.380813,51.03602300000001,
Centre Dramatique National,LA COMEDIE DE BETHUNE,CENTRE DRAMATIQUE NATIONAL  NORD-PAS-DE-CALAIS,Place Foch,B.P. 631,62412.0,BETHUNE Cedex,2.6333500000000005,50.530708999999995,"50.530708999999995,2.6333500000000005",,Hauts-de-France,2.63335,50.530708999999995,
Centre chorégraphique national,Centre chorégraphique national de Rillieux-la-Pape,,"30 ter, avenue du Général Leclerc",BP 106,69143.0,Rillieux-la-Pape,4.865976999999999,45.805573,"45.805573,4.865976999999999",,Auvergne-Rhône-Alpes,4.865976999999999,45.805573,
Orchestre Permanent,Orchestre de Paris,,"252, rue du Faubourg Saint Honoré",Salle PLEYEL,75008.0,PARIS,2.320066,48.84717500000001,"48.84717500000001,2.320066","48.876956, 2.300995",Île-de-France,2.3200659999999997,48.84717500000001,
Centre chorégraphique national,Centre chorégraphique national d' Orléans,,"37, rue du Bourdon blanc",,45000.0,Orléans,1.9131499999999997,47.902204,"47.902204,1.9131499999999997","47.902216, 1.91311",Centre-Val de Loire,1.913149999999999,47.902204,
Pôle cirque,Le Sirque,,Château de Nexon,BP 20,87800.0,NEXON,,,,"45.670013, 1.117333",Nouvelle-Aquitaine,1.117333,45.670013,
Centres nationaux de création musicale,CIRM : Centre international de recherches musicales,,33 avenue Jean Médecin,,6000.0,Nice,7.2666879999999985,43.702544,"43.702544,7.2666879999999985",,Provence-Alpes-Côte d'Azur,7.2666879999999985,43.702544,
Centre d’art,LE SPOT - CENTRE D'ART CONTEMPORAIN,,"32, rue Jules Lecesne",,76600.0,LE HAVRE,,,,"49.493657, 0.1141",Normandie,0.11410000000000001,49.493657,
SMAC,Le Carré Bleu,Association Jazz à Poitiers,2 place Aristide Briand,"C/o la Maison du Coin,",86000.0,POITIERS,,,,"46.580464, 0.335706",Nouvelle-Aquitaine,0.335706,46.580464,
Centre d’art,LE CREUX DE L'ENFER,CENTRE D'ART CONTEMPORAIN,Vallée des Usines,,63300.0,THIERS,,,,"45.851689, 3.544298",Auvergne-Rhône-Alpes,3.544298,45.851689,
SMAC,Antipode (projet SMAC d'agglomération rennaise),MJC Cleunay,"2, rue A Trasbot","MJC Antipode,",35000.0,RENNES,,,,"48.100842, -1.708982",Bretagne,-1.708982,48.100842,
Centre d’art,COLLECTION LAMBERT EN AVIGNON,MUSÉE D'ART CONTEMPORAIN,"5, rue Violette",,84000.0,AVIGNON,,,,"43.944956, 4.804371",Provence-Alpes-Côte d'Azur,4.804371,43.944956,
Orchestre Permanent,Les Musiciens du Louvre - Grenoble,,"1, rue du Vieux Temple",BP 3046,38816.0,GRENOBLE cedex 1,5.733685999999999,45.193523999999975,"45.193523999999975,5.733685999999999",,Auvergne-Rhône-Alpes,5.733685999999999,45.193523999999975,
Centre Dramatique National,CENTRE DRAMATIQUE DE THIONVILLE-LORRAINE,,rue Pasteur,,57103.0,THIONVILLE CEDEX,6.163636,49.361425,"49.361425,6.163636",,Grand Est,6.163636,49.361425,
Scène Nationale,Bonlieu - Scène nationale,,"1, rue Jean-Jaurès",BP 294,74000.0,ANNECY Cedex,6.128693,45.90203399999999,"45.90203399999999,6.128693","45.902197, 6.128472",Auvergne-Rhône-Alpes,6.128693,45.90203399999999,
Centre Dramatique National,LE FESTIN,CDN DE MONTLUCON – REGION AUVERGNE,27 rue des Faucheroux,Espace Boris Vian,3100.0,MONTLUCON,2.609487,46.328193,"46.328193,2.609487",,Auvergne-Rhône-Alpes,2.609487,46.328193,
Pôle cirque,Le Prato,,"6, allée de la Filature",,59000.0,LILLE,,,,"50.619345, 3.071094",Hauts-de-France,3.071094,50.619345,
Scène Nationale,Le Carré Saint-Vincent - Scène nationale d'Orléans,,Le Carré Saint-Vincent,,45000.0,ORLÉANS,1.916929,47.91864699999999,"47.91864699999999,1.916929","47.904183, 1.91292",Centre-Val de Loire,1.916929,47.91864699999999,
Centre d’art,LE MAGASIN - CENTRE NATIONAL D'ART,CONTEMPORAIN,Site Bouchayer Viallet,,38000.0,GRENOBLE,,,,"45.191098, 5.719737",Auvergne-Rhône-Alpes,5.719737,45.191098,
Centre Dramatique National,THEATRE DE LA MANUFACTURE,CENTRE DRAMATIQUE NATIONAL DE NANCY LORRAINE,"10, rue Baron-Louis",B.P. 3349,54014.0,NANCY CEDEX,6.171049000000001,48.69574000000001,"48.69574000000001,6.171049000000001",,Grand Est,6.171049000000001,48.69574000000001,
Orchestre Permanent,Orchestre de Bretagne,,"42 A, rue Saint Mélaine",B.P 30 823,35108.0,RENNES cedex 3,-1.675051,48.11478900000001,"48.11478900000001,-1.675051",,Bretagne,-1.6750509999999998,48.11478900000001,
Centre national des arts de la rue,Pronomades,,rue de la Fontaine,,31160.0,ENCAUSSE LES THERMES,0.740651,43.049064999999985,"43.049064999999985,0.740651","43.049882, 0.742395",Occitanie,0.740651,43.049064999999985,
SMAC,Le Cargo,Arts Attack,Cours Caffarelli,,14000.0,CAEN,,,,"49.180486, -0.341715",Normandie,-0.341715,49.180486,
SMAC,La Lune des Pirates,Association la Lune des Pirates spectacles,"17, quai Bélu",,80000.0,AMIENS,,,,"49.896299, 2.304671",Hauts-de-France,2.304671,49.896299,
Scène Nationale,Scène nationale de Sète et du Bassin de Thau,,Avenue Victor Hugo,,34200.0,SÈTE,3.698214,43.40820699999999,"43.40820699999999,3.698214","43.40848, 3.698287",Occitanie,3.698214,43.40820699999999,
Scène Nationale,Le Carreau - Scène Nationale de Forbach et de l’Est Mosellan,,avenue Saint-Rémy,BP 40190,57603.0,FORBACH Cedex,6.898134,49.18701899999999,"49.18701899999999,6.898134",,Grand Est,6.898134,49.18701899999999,
Centre Dramatique National,THEATRE DE LA COMMUNE,CENTRE DRAMATIQUE NATIONAL D’AUBERVILLIERS,"2, rue Edouard Poisson",B.P. 157,93304.0,AUBERVILLIERS CEDEX,2.3850020000000005,48.910481999999995,"48.910481999999995,2.3850020000000005",,Île-de-France,2.385002,48.910481999999995,
Centre chorégraphique national,Centre chorégraphique national de Roubaix Nord-Pas-de-Calais,,"33, rue de l'Épeule",,59100.0,Roubaix,3.162677,50.691121,"50.691121,3.162677","50.691102, 3.162746",Hauts-de-France,3.162677,50.691121,
SMAC,Le Fil,Association Ligérienne de musiques actuelles,20 rue St Joseph,,42000.0,SAINT-ETIENNE,,,,"45.442255, 4.375612",Auvergne-Rhône-Alpes,4.375612,45.442255,
Scène Nationale,Action Culturelle du Barrois  - Scène nationale,,"7, rue Jeanne d’Arc",,55000.0,BAR LE DUC,5.161136,48.77680399999999,"48.77680399999999,5.161136","48.776736, 5.161345",Grand Est,5.161136,48.77680399999999,
Scène Nationale,Le Théâtre - Scène Nationale,,"2, avenue Domitius",,11100.0,NARBONNE,2.998854,43.20257,"43.20257,2.998854","43.180232, 3.014167",Occitanie,2.9988539999999997,43.20257,
SMAC,La Rodia,,Avenue de Chardonnet,,25000.0,BESANCON,,,,"47.232913, 6.038004",Bourgogne-Franche-Comté,6.038004,47.232913,
FRAC,Fonds régional d'art contemporain PAYS-DE-LA-LOIRE,,La Fleuriaye,,44470.0,CARQUEFOU,,,,"47.301234, -1.504373",Pays de la Loire,-1.504373,47.301234,
Centre chorégraphique national,Centre chorégraphique national à La Rochelle,,Chapelle Fromentin,"14, rue du collège",17025.0,La Rochelle cedex 1,-1.17311,46.159895,"46.159895,-1.17311",,Nouvelle-Aquitaine,-1.17311,46.159895,
FRAC,Fonds régional d'art contemporain NORD-PAS-DE-CALAIS,,"930, avenue Rosendaël",,59240.0,DUNKERQUE,,,,"51.037813, 2.398842",Hauts-de-France,2.398842,51.037813,
FRAC,Fonds régional d'art contemporain BASSE-NORMANDIE,,"9, rue Vaubenard",,14000.0,CAEN,,,,"49.187613, -0.346583",Normandie,-0.346583,49.187613,
FRAC,Fonds régional d'art contemporain RHONE-ALPES,,11 rue du Docteur Dolard,,69100.0,VILLEURBANNE,,,,"45.762473, 4.872414",Auvergne-Rhône-Alpes,4.872414,45.762473,
Opéra en région,Théâtre du Capitole de Toulouse,,-,B.P. 129,31014.0,TOULOUSE Cedex 6,1.439218,43.60800600000001,"43.60800600000001,1.439218",,Occitanie,1.4392179999999999,43.60800600000001,
Scène Nationale,Théâtre Jean Lurçat - Scène nationale,,Avenue des Lissiers,BP 11,23200.0,AUBUSSON,2.168553,45.954685999999995,"45.954685999999995,2.168553","45.95457, 2.170185",Nouvelle-Aquitaine,2.168553,45.954685999999995,
SMAC,Le Cabaret Aléatoire SMAC d'agglomération marseillaise,association Autokab,41 rue Jobin,,13003.0,MARSEILLE,,,,"43.309625, 5.390326",Provence-Alpes-Côte d'Azur,5.390326,43.309625,
SMAC en cours de labellisation,Le Forum,Commune de Vauréal,Boulevard de l’Oise,,95490.0,VAUREAL,,,,"49.02959, 2.022081",Île-de-France,2.022081,49.02959,
Centre chorégraphique national,Ballet de l'Opéra national du Rhin,,"38, passage du Théâtre",,68100.0,Mulhouse,7.3392719999999985,47.745475,"47.745475,7.3392719999999985","47.745405, 7.339012",Grand Est,7.339271999999998,47.745475,
